URL,Size(Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/interactive/2024/02/01/magazine/israel-founding-palestinian-conflict.html,480771,161,text/html
https://www.nytimes.com/interactive/2023/01/12/opinion/republican-focus-group.html,343065,136,text/html
https://www.nytimes.com/2020/12/23/world/europe/russia-navalny-poisoning.html,289223,138,text/html
https://www.nytimes.com/2023/12/07/movies/poor-things-review.html,303734,117,text/html
https://www.nytimes.com/2023/04/04/nyregion/trump-arraignment-felony-charges.html,343529,140,text/html
https://www.nytimes.com/2024/02/17/business/economy/the-great-compression.html,308278,147,text/html
https://www.nytimes.com/interactive/2023/08/14/us/politics/trump-georgia-indictment-key-players.html,256293,161,text/html
https://www.nytimes.com/2023/12/14/movies/the-zone-of-interest-review.html,300675,142,text/html
https://www.nytimes.com/2024/02/16/world/europe/aleksei-navalny-career-russia.html,282508,143,text/html
https://www.nytimes.com/interactive/2023/01/03/opinion/law-enforcement-focus-group.html,318630,136,text/html
https://www.nytimes.com/2019/07/29/world/europe/navalny-poison-russia.html,275648,134,text/html
https://www.nytimes.com/2023/10/19/movies/killers-of-the-flower-moon-review-martin-scorsese.html,365536,125,text/html
https://www.nytimes.com/2023/07/18/us/politics/michigan-attorney-general-charges-false-electors.html,256366,134,text/html
https://www.nytimes.com/interactive/2024/02/06/us/elections/results-nevada-republican-primary.html,285185,221,text/html
https://www.nytimes.com/2024/02/18/opinion/king-charles-british-health.html,256684,126,text/html
https://www.nytimes.com/2023/04/17/us/ralph-yarl-kansas-city-shooting.html,311813,127,text/html
https://www.nytimes.com/2023/10/12/movies/anatomy-of-a-fall-review.html,283957,135,text/html
https://www.nytimes.com/2019/10/09/world/europe/navalny-russia-foreign.html,247328,129,text/html
https://www.nytimes.com/2024/02/18/us/california-storm-rain-weather-forecast.html,262549,128,text/html
https://www.nytimes.com/interactive/2022/11/15/opinion/voter-reactions-midterm-elections.html,403651,138,text/html
https://www.nytimes.com/2021/01/19/world/europe/navalny-putin.html,275898,136,text/html
https://www.nytimes.com/2024/02/11/movies/christopher-nolan-wins-dga-award.html,259992,126,text/html
https://www.nytimes.com/2023/04/20/us/wrong-house-shootings-guns.html,319788,137,text/html
https://www.nytimes.com/interactive/2024/02/13/climate/flooding-sea-levels-groundwater.html,527439,145,text/html
https://www.nytimes.com/2024/02/02/us/politics/trump-trial-election-date-delay.html,267423,127,text/html
https://www.nytimes.com/2024/02/15/world/americas/belize-guatemala-border-dispute.html,288210,137,text/html
https://www.nytimes.com/2023/04/18/nyregion/kaylin-gillis-ny-shooting.html,273873,122,text/html
https://www.nytimes.com/2024/01/23/movies/2024-oscar-nominees-list.html,344427,163,text/html
https://www.nytimes.com/2018/03/13/world/europe/uk-russia-spy-poisoning.html,252014,121,text/html
https://www.nytimes.com/2024/02/18/world/europe/navalny-putin-russia-legacy.html,278994,122,text/html
https://www.nytimes.com/interactive/2023/01/25/opinion/high-school-seniors-college-focus-group.html,333165,136,text/html
https://www.nytimes.com/2018/09/05/world/europe/russia-uk-novichok-skripal.html,329670,134,text/html
https://www.nytimes.com/2023/10/26/movies/the-holdovers-review-alexander-payne.html,362578,140,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/doug-burgum-republican-candidates-2024-issues.html,631507,168,text/html
https://www.nytimes.com/2022/06/24/arts/music/playlist-beyonce-taylor-swift.html,309117,135,text/html
https://www.nytimes.com/2021/01/09/us/politics/michigan-state-capitol.html,278946,122,text/html
https://www.nytimes.com/2023/07/19/movies/oppenheimer-review-christopher-nolan.html,384601,147,text/html
https://www.nytimes.com/es/2024/02/16/espanol/aleksei-navalny.html,306508,135,text/html
https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html,1048576,127,text/html
https://www.nytimes.com/2021/12/16/movies/spider-man-no-way-home-review.html,289883,139,text/html
https://www.nytimes.com/2024/02/17/world/europe/why-navalny-returned-to-russia.html,301066,127,text/html
https://www.nytimes.com/2023/01/20/business/economy/economic-statistics-climate-nature.html,270158,128,text/html
https://www.nytimes.com/1996/04/02/us/dole-s-ideal-vacation-doing-nothing-or-close-to-it.html,216615,116,text/html
https://www.nytimes.com/2021/03/14/arts/music/beyonce-megan-thee-stallion-grammys.html,235893,132,text/html
https://www.nytimes.com/interactive/2023/12/18/us/politics/republican-candidates-2024-health-care.html,623256,162,text/html
https://www.nytimes.com/2024/01/30/arts/television/feud-capote-vs-the-swans.html,298116,132,text/html
https://www.nytimes.com/2024/02/08/dining/i-can-cook-myself-cauliflowers.html,279920,144,text/html
https://www.nytimes.com/2023/05/26/us/politics/desantis-trump-crime-covid.html,293466,141,text/html
https://www.nytimes.com/2022/09/14/us/politics/bolduc-morse-new-hampshire-senate.html,271212,124,text/html
https://www.nytimes.com/2023/06/01/movies/spider-man-across-the-spider-verse-influences.html,288917,135,text/html
https://www.nytimes.com/2024/02/12/business/media/bob-edwards-dead.html,247145,123,text/html
https://www.nytimes.com/2024/01/26/style/calista-flockhart-ally-mcbeal-feud.html,384660,127,text/html
https://www.nytimes.com/interactive/2023/10/17/us/politics/republican-candidates-2024-crime.html,626751,163,text/html
https://www.nytimes.com/2022/06/16/arts/music/beyonce-renaissance-new-album.html,236836,130,text/html
https://www.nytimes.com/2024/01/26/nyregion/truman-capote-feud-swans-fx.html,274370,123,text/html
https://www.nytimes.com/2024/02/18/us/politics/biden-trump-presidential-rankings.html,241321,117,text/html
https://www.nytimes.com/2023/02/20/us/politics/chris-sununu-republican-president-2024.html,327535,137,text/html
https://www.nytimes.com/2018/12/12/movies/spider-man-into-the-spider-verse-review.html,355854,142,text/html
https://www.nytimes.com/interactive/2022/us/fire-tracker-maps.html,238569,158,text/html
https://www.nytimes.com/article/trump-documents-investigation-timeline.html,343627,141,text/html
https://www.nytimes.com/2016/11/21/fashion/black-and-white-ball-anniversary-truman-capote.html,347486,136,text/html
https://www.nytimes.com/2018/06/17/arts/music/beyonce-jay-z-the-carters-everything-is-love-review.html,251464,133,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/chris-christie-republican-candidates-2024-issues.html,633117,169,text/html
https://www.nytimes.com/2022/07/27/arts/music/beyonce-renaissance-rollout.html,284729,140,text/html
https://www.nytimes.com/2024/02/08/movies/marmalade-review-keir-odonnell.html,277940,139,text/html
https://www.nytimes.com/2023/11/25/world/middleeast/israel-gaza-death-toll.html,390071,157,text/html
https://www.nytimes.com/interactive/2024/02/13/arts/television/taylor-tomlinson-have-it-all-netflix.html,225045,123,text/html
https://www.nytimes.com/2024/02/03/books/review/greta-and-valdin-rebecca-k-reilly.html,261203,135,text/html
https://www.nytimes.com/2021/11/09/us/politics/sununu-new-hampshire-governor.html,252569,125,text/html
https://www.nytimes.com/2024/02/18/opinion/radical-empathy-fiction.html,248380,118,text/html
https://www.nytimes.com/video/world/middleeast/100000009287505/gaza-rain.html,1048576,55,text/html
https://www.nytimes.com/2024/02/08/movies/molli-and-max-in-the-future-review.html,279437,136,text/html
https://www.nytimes.com/2020/06/26/arts/music/playlist-beyonce-prince.html,297162,141,text/html
https://www.nytimes.com/interactive/2023/09/12/us/politics/republican-candidates-2024-biden-impeachment.html,628702,166,text/html
https://www.nytimes.com/2024/02/08/movies/suncoast-review.html,278480,137,text/html
https://www.nytimes.com/2024/01/30/world/middleeast/gaza-war-palestinian-journalists.html,314984,143,text/html
https://www.nytimes.com/2024/02/17/opinion/texas-tim-dunn-trump.html,292267,128,text/html
https://www.nytimes.com/interactive/2022/11/08/us/elections/results-new-hampshire.html,1048576,199,text/html
https://www.nytimes.com/2024/02/03/books/review/lucy-sante-i-heard-her-call-my-name.html,297173,142,text/html
https://www.nytimes.com/interactive/2023/08/01/us/politics/trump-jan-6-indictment-2020-election-annotated.html,291692,191,text/html
https://www.nytimes.com/2024/02/18/us/politics/mike-turner-russia-nuclear-space.html,263750,126,text/html
https://www.nytimes.com/2023/11/05/world/middleeast/gaza-explosion-al-maghazi-camp.html,271444,134,text/html
https://www.nytimes.com/2024/02/08/movies/cobweb-review-kim-jee-woon.html,277030,137,text/html
https://www.nytimes.com/interactive/2023/10/18/us/politics/republican-candidates-2024-israel.html,629534,167,text/html
https://www.nytimes.com/2018/04/15/arts/music/beyonce-coachella-review.html,252900,130,text/html
https://www.nytimes.com/2024/02/08/movies/here-review.html,277247,136,text/html
https://www.nytimes.com/2023/12/21/world/middleeast/israel-gaza-bomb-investigation.html,338853,138,text/html
https://www.nytimes.com/2021/01/23/us/politics/scott-perry-trump-justice-department-election.html,305144,151,text/html
https://www.nytimes.com/2024/02/04/books/review/corey-fah-does-social-mobility-isabel-waidner.html,258759,133,text/html
https://www.nytimes.com/2021/01/24/us/politics/jeffrey-clark-trump-election.html,291970,134,text/html
